"Var1","Freq"
"Sign Defect - Garage",1
"Tie Rods",1
"Unauthorized Climbing",1
"User Unlicensed",1
"Wireless",1
"Wood Pole Wires Exposed",1
"Workplace - 10 or Less Staff",1
"Air: Dust, Commercial (AE2)",0
"Air: Dust, Residential (AE1)",0
"Air: Odor/Fumes, Private Carting (AD4)",0
"Asbestos Project Notification (B2)",0
"Asbestos, Other (Use Comments) (BZ)",0
"Dry weather discharge (DWD)  ",0
"Electronic Sign - Portable",0
"Expressway Sign",0
"EXPY Lamp",0
"EXPY Sign Reflector",0
"Facility Maint./Cleanliness",0
"Facility Unregistered",0
"Recurring after SOAP *FOR DEP INTERNAL USE ONLY* (SRAS)",0
"Retest",0
"Safety Inspection-Retaining Walls (May 2005)",0
"Service line termination *FOR DEP INTERNAL USE ONLY* (WSLT)",0
"Sewer monitoring device alert *FOR DEP INTERNAL USE ONLY* (SBUART)",0
"SOAP segment *FOR DEP INTERNAL USE ONLY* (SOAP)",0
"SOAP segment *FOR DEP INTERNAL USE ONLY* (SOAP)  Recurring after SOAP *FOR DEP INTERNAL USE ONLY* (SRAS)",0
"Staff/Supervision/Permits",0
"Vesting Inspection",0
"Waterway-Floatables (IHC)",0
"Wood Pole Knocked Down",0
